days_since_birth,girl_tall_3,girl_tall_10,girl_tall_25,girl_tall_50,girl_tall_75,girl_tall_90,girl_tall_97,boy_tall_3,boy_tall_10,boy_tall_25,boy_tall_50,boy_tall_75,boy_tall_90,boy_tall_97,gw3,girl_weight_10,girl_weight_25,girl_weight_50,girl_weight_75,girl_weight_90,girl_weight_97,boy_weight_3,boy_weight_10,boy_weight_25,bw50,boy_weight_75,boy_weight_90,boy_weight_97
35,48.8333333333333,50.2333333333333,51.4333333333333,52.75,54.05,55.0666666666667,56.0666666666667,49.55,51.0333333333333,52.35,53.75,55.05,56.15,57.15,3.12666666666667,3.40166666666667,3.685,3.99833333333333,4.30333333333333,4.57833333333333,4.84333333333333,3.31833333333333,3.62333333333333,3.92166666666667,4.25833333333333,4.585,4.88166666666667,5.16666666666667
36,48.9,50.3,51.5,52.82,54.12,55.14,56.14,49.62,51.1,52.42,53.82,55.12,56.22,57.22,3.142,3.418,3.702,4.016,4.322,4.598,4.864,3.336,3.642,3.942,4.28,4.608,4.906,5.192
37,48.9666666666667,50.3666666666667,51.5666666666667,52.89,54.19,55.2133333333333,56.2133333333333,49.69,51.1666666666667,52.49,53.89,55.19,56.29,57.29,3.15733333333333,3.43433333333333,3.719,4.03366666666667,4.34066666666667,4.61766666666667,4.88466666666667,3.35366666666667,3.66066666666667,3.96233333333333,4.30166666666667,4.631,4.93033333333333,5.21733333333333
38,49.0333333333333,50.4333333333333,51.6333333333333,52.96,54.26,55.2866666666667,56.2866666666667,49.76,51.2333333333333,52.56,53.96,55.26,56.36,57.36,3.17266666666667,3.45066666666667,3.736,4.05133333333333,4.35933333333333,4.63733333333333,4.90533333333333,3.37133333333333,3.67933333333333,3.98266666666667,4.32333333333333,4.654,4.95466666666667,5.24266666666667
39,49.1,50.5,51.7,53.03,54.33,55.36,56.36,49.83,51.3,52.63,54.03,55.33,56.43,57.43,3.188,3.467,3.753,4.069,4.378,4.657,4.926,3.389,3.698,4.003,4.345,4.677,4.979,5.268
40,49.1666666666667,50.5666666666667,51.7666666666667,53.1,54.4,55.4333333333333,56.4333333333333,49.9,51.3666666666667,52.7,54.1,55.4,56.5,57.5,3.20333333333333,3.48333333333333,3.77,4.08666666666667,4.39666666666667,4.67666666666667,4.94666666666667,3.40666666666667,3.71666666666667,4.02333333333333,4.36666666666667,4.7,5.00333333333333,5.29333333333333
41,49.2333333333333,50.6333333333333,51.8333333333333,53.17,54.47,55.5066666666667,56.5066666666667,49.97,51.4333333333333,52.77,54.17,55.47,56.57,57.57,3.21866666666667,3.49966666666667,3.787,4.10433333333333,4.41533333333333,4.69633333333333,4.96733333333333,3.42433333333333,3.73533333333333,4.04366666666667,4.38833333333333,4.723,5.02766666666667,5.31866666666667
42,49.3,50.7,51.9,53.24,54.54,55.58,56.58,50.04,51.5,52.84,54.24,55.54,56.64,57.64,3.234,3.516,3.804,4.122,4.434,4.716,4.988,3.442,3.754,4.064,4.41,4.746,5.052,5.344
43,49.3666666666667,50.7666666666667,51.9666666666667,53.31,54.61,55.6533333333333,56.6533333333333,50.11,51.5666666666667,52.91,54.31,55.61,56.71,57.71,3.24933333333333,3.53233333333333,3.821,4.13966666666667,4.45266666666667,4.73566666666667,5.00866666666667,3.45966666666667,3.77266666666667,4.08433333333333,4.43166666666667,4.769,5.07633333333333,5.36933333333333
44,49.4333333333333,50.8333333333333,52.0333333333333,53.38,54.68,55.7266666666667,56.7266666666667,50.18,51.6333333333333,52.98,54.38,55.68,56.78,57.78,3.26466666666667,3.54866666666667,3.838,4.15733333333333,4.47133333333333,4.75533333333333,5.02933333333333,3.47733333333333,3.79133333333333,4.10466666666667,4.45333333333333,4.792,5.10066666666667,5.39466666666667
45,49.5,50.9,52.1,53.45,54.75,55.8,56.8,50.25,51.7,53.05,54.45,55.75,56.85,57.85,3.28,3.565,3.855,4.175,4.49,4.775,5.05,3.495,3.81,4.125,4.475,4.815,5.125,5.42
46,49.5666666666667,50.9666666666667,52.1666666666667,53.52,54.82,55.8733333333333,56.8733333333333,50.32,51.7666666666667,53.12,54.52,55.82,56.92,57.92,3.29533333333333,3.58133333333333,3.872,4.19266666666667,4.50866666666667,4.79466666666667,5.07066666666667,3.51266666666667,3.82866666666667,4.14533333333333,4.49666666666667,4.838,5.14933333333333,5.44533333333333
47,49.6333333333333,51.0333333333333,52.2333333333333,53.59,54.89,55.9466666666667,56.9466666666667,50.39,51.8333333333333,53.19,54.59,55.89,56.99,57.99,3.31066666666667,3.59766666666667,3.889,4.21033333333333,4.52733333333333,4.81433333333333,5.09133333333333,3.53033333333333,3.84733333333333,4.16566666666667,4.51833333333333,4.861,5.17366666666667,5.47066666666667
48,49.7,51.1,52.3,53.66,54.96,56.02,57.02,50.46,51.9,53.26,54.66,55.96,57.06,58.06,3.326,3.614,3.906,4.228,4.546,4.834,5.112,3.548,3.866,4.186,4.54,4.884,5.198,5.496
49,49.7666666666667,51.1666666666667,52.3666666666667,53.73,55.03,56.0933333333333,57.0933333333333,50.53,51.9666666666667,53.33,54.73,56.03,57.13,58.13,3.34133333333333,3.63033333333333,3.923,4.24566666666667,4.56466666666667,4.85366666666667,5.13266666666667,3.56566666666667,3.88466666666667,4.20633333333333,4.56166666666667,4.907,5.22233333333333,5.52133333333333
50,49.8333333333333,51.2333333333333,52.4333333333333,53.8,55.1,56.1666666666667,57.1666666666667,50.6,52.0333333333333,53.4,54.8,56.1,57.2,58.2,3.35666666666667,3.64666666666667,3.94,4.26333333333333,4.58333333333333,4.87333333333333,5.15333333333333,3.58333333333333,3.90333333333333,4.22666666666667,4.58333333333333,4.93,5.24666666666667,5.54666666666667
51,49.9,51.3,52.5,53.87,55.17,56.24,57.24,50.67,52.1,53.47,54.87,56.17,57.27,58.27,3.372,3.663,3.957,4.281,4.602,4.893,5.174,3.601,3.922,4.247,4.605,4.953,5.271,5.572
52,49.9666666666667,51.3666666666667,52.5666666666667,53.94,55.24,56.3133333333333,57.3133333333333,50.74,52.1666666666667,53.54,54.94,56.24,57.34,58.34,3.38733333333333,3.67933333333333,3.974,4.29866666666667,4.62066666666667,4.91266666666667,5.19466666666667,3.61866666666667,3.94066666666667,4.26733333333333,4.62666666666667,4.976,5.29533333333333,5.59733333333333
53,50.0333333333333,51.4333333333333,52.6333333333333,54.01,55.31,56.3866666666667,57.3866666666667,50.81,52.2333333333333,53.61,55.01,56.31,57.41,58.41,3.40266666666667,3.69566666666667,3.991,4.31633333333333,4.63933333333333,4.93233333333333,5.21533333333333,3.63633333333333,3.95933333333333,4.28766666666667,4.64833333333333,4.999,5.31966666666667,5.62266666666667
54,50.1,51.5,52.7,54.08,55.38,56.46,57.46,50.88,52.3,53.68,55.08,56.38,57.48,58.48,3.418,3.712,4.008,4.334,4.658,4.952,5.236,3.654,3.978,4.308,4.67,5.022,5.344,5.648
55,50.1666666666667,51.5666666666667,52.7666666666667,54.15,55.45,56.5333333333333,57.5333333333333,50.95,52.3666666666667,53.75,55.15,56.45,57.55,58.55,3.43333333333333,3.72833333333333,4.025,4.35166666666667,4.67666666666667,4.97166666666667,5.25666666666667,3.67166666666667,3.99666666666667,4.32833333333333,4.69166666666667,5.045,5.36833333333333,5.67333333333333
56,50.2333333333333,51.6333333333333,52.8333333333333,54.22,55.52,56.6066666666667,57.6066666666667,51.02,52.4333333333333,53.82,55.22,56.52,57.62,58.62,3.44866666666667,3.74466666666667,4.042,4.36933333333333,4.69533333333333,4.99133333333333,5.27733333333333,3.68933333333333,4.01533333333333,4.34866666666667,4.71333333333333,5.068,5.39266666666667,5.69866666666667
57,50.3,51.7,52.9,54.29,55.59,56.68,57.68,51.09,52.5,53.89,55.29,56.59,57.69,58.69,3.464,3.761,4.059,4.387,4.714,5.011,5.298,3.707,4.034,4.369,4.735,5.091,5.417,5.724
58,50.3666666666667,51.7666666666667,52.9666666666667,54.36,55.66,56.7533333333333,57.7533333333333,51.16,52.5666666666667,53.96,55.36,56.66,57.76,58.76,3.47933333333333,3.77733333333333,4.076,4.40466666666667,4.73266666666667,5.03066666666667,5.31866666666667,3.72466666666667,4.05266666666667,4.38933333333333,4.75666666666667,5.114,5.44133333333333,5.74933333333333
59,50.4333333333333,51.8333333333333,53.0333333333333,54.43,55.73,56.8266666666667,57.8266666666667,51.23,52.6333333333333,54.03,55.43,56.73,57.83,58.83,3.49466666666667,3.79366666666667,4.093,4.42233333333333,4.75133333333333,5.05033333333333,5.33933333333333,3.74233333333333,4.07133333333333,4.40966666666667,4.77833333333333,5.137,5.46566666666667,5.77466666666667
60,50.5,51.9,53.1,54.5,55.8,56.9,57.9,51.3,52.7,54.1,55.5,56.8,57.9,58.9,3.51,3.81,4.11,4.44,4.77,5.07,5.36,3.76,4.09,4.43,4.8,5.16,5.49,5.8
61,50.6133333333333,52.01,53.2133333333333,54.6133333333333,55.9133333333333,57.0166666666667,58.02,51.42,52.8233333333333,54.22,55.6233333333333,56.9233333333333,58.0266666666667,59.0266666666667,3.53533333333333,3.83666666666667,4.138,4.46966666666667,4.80133333333333,5.103,5.39433333333333,3.78766666666667,4.11966666666667,4.46133333333333,4.83333333333333,5.19566666666667,5.527,5.839
